Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
340,0,1,0,0,1,1,1,1,03a8,0,1,00,1,0b1,58
341,1,0,0,0,0,1,1,0,03a8,1,1,00,1,0b1,58
342,0,1,0,0,1,1,1,1,007f,0,1,00,1,0b2,58
343,1,0,0,0,0,1,1,0,007f,1,1,00,1,0b2,58
344,0,1,0,0,1,1,1,1,013a,0,1,00,1,0b3,58
345,1,0,0,0,0,1,1,0,013a,1,1,00,1,0b3,58
346,0,1,0,0,1,1,1,1,0310,0,1,00,1,0b4,58
347,1,0,0,0,0,1,1,0,0310,1,1,00,1,0b4,58
348,0,1,0,0,1,1,1,1,0011,0,1,00,1,0b5,58
349,1,0,0,0,0,1,1,0,0011,1,1,00,1,0b5,58
350,0,1,0,0,1,1,1,1,0003,0,1,00,1,0b6,58
351,1,0,0,0,0,1,1,0,0003,1,1,00,1,0b6,58
352,0,1,0,0,1,1,1,1,008d,0,1,00,1,0b7,58
353,1,0,0,0,0,1,1,0,008d,1,1,00,1,0b7,58
354,0,1,0,0,1,1,1,1,037d,0,1,00,1,0b8,58
355,1,0,0,0,0,1,1,0,037d,1,1,00,1,0b8,58
356,0,1,0,0,1,1,1,1,001b,0,1,00,1,0b9,58
357,1,0,0,0,0,1,1,0,001b,1,1,00,1,0b9,58
358,0,1,0,0,1,1,1,1,0067,0,1,00,1,0ba,58
